word,meanings,score
cack,"カック,かっく_〈英俗〉くだらないこと,〈えいぞく〉くだらないこと_ばかげたこと,ばかげたこと_ナンセンス,なんせんす_たわ言,たわげん_〈英・卑俗〉糞,〈えい・ひぞく〉ふん_うんこ,うんこ_〈英・卑俗〉糞［うんこ］をする,〈えい・ひぞく〉ふん［うんこ］をする",0
cack-handed,"左利きの,ひだりききの_不器用な,ぶきような_ぎこちない,ぎこちない",0
cacker,"不快な者,ふかいなもの",0
cackle,"〔産卵後のめんどりのように〕クワックワッと鳴く,〔さんらんのちのめんどりのように〕くわっくわっとなく_〔キャッキャッと〕笑う,〔きゃっきゃっと〕わらう_しゃべる,しゃべる_〔甲高い声で言葉や笑いを〕発する,〔かんだかいこえでことばやわらいを〕はっする_〔めんどりの産卵後の〕クワックワッという鳴き声,〔めんどりのさんらんのちの〕くわっくわっというなきごえ_〔甲高い〕笑い声,〔かんだかい〕わらいこえ_おしゃべり,おしゃべり",0
cackleberry,"〈俗〉〔鶏の〕卵,〈ぞく〉〔にわとりの〕たまご",0
cackler,"〔産卵後に〕甲高い鳴き声を出すめんどり,〔さんらんのちに〕かんだかいなきごえをだすめんどり_〔くだらない〕おしゃべりをする人,〔くだらない〕おしゃべりをするにん",0
cacky,"〈話〉糞便の(ような),〈はなし〉ふんびんの(ような)_〈話〉無価値の,〈はなし〉むかちの_くだらない,くだらない",0
cackyhander,"左利きの人,ひだりききのにん",0
caco-,"悪い,わるい",0
cacodemon,"悪魔,あくま_悪霊,あくりょう",0
cacodemonia,"悪霊に取り付かれること,あくりょうにとりつかれること",0
cacodemonomania,"悪霊憑依,あくりょうひょうい",0
cacodoxy,"〔宗教上の〕間違った説,〔しゅうきょうじょうの〕まちがったせつ",0
cacodyl,"《化学》カコジル,《かがく》かこじる",0
cacodylate,"《化学》カコジル酸塩,《かがく》かこじるさんしお",0
cacodylic,"カコジル基の,かこじるもとの",0
cacoepy,"不正発音(法),ふせいはつおん(ほう)",0
